rank,name,requires,input_cost,output_value,volume,profit,score,materials
184,Wheat,,0.0,6.0,662700000.0,6.0,0.5,1x Hay Block
177,Enchanted Melon Slice,Melon Slice IV,48.0,320.0,281500000.0,272.0,0.2124,160x Melon
171,Enchanted Potato,Potato IV,160.0,478.0,187900000.0,318.0,0.1418,160x Potato Item
147,Enchanted Nether Wart,Nether Wart IV,144.0,640.0,166600000.0,496.0,0.1257,160x Nether Stalk
173,Enchanted Seeds,Seeds III,166.0,477.0,146300000.0,311.0,0.1104,160x Seeds
153,Enchanted Wheat,Wheat V,560.0,986.0,131199999.99999999,426.0,0.099,160x Wheat
156,Enchanted Carrot,Carrot IV,112.0,525.0,97700000.0,413.0,0.0737,160x Carrot Item
158,Enchanted Snow Block,,176.0,580.0,81200000.0,404.0,0.0613,160x Snow Block
137,Enchanted Red Mushroom,Mushroom VI,930.0,1600.0,72600000.0,667.0,0.0548,160x Red Mushroom
134,Enchanted Brown Mushroom,Mushroom VI,928.0,1600.0,61300000.0,678.0,0.0463,160x Brown Mushroom
154,Enchanted Sugar,Sugar Cane IV,272.0,690.0,60200000.0,418.0,0.0454,160x Sugar Cane
132,Enchanted Pumpkin,Pumpkin III,998.0,1700.0,38300000.0,687.0,0.0289,160x Pumpkin
129,Enchanted Mithril,Mithril III,640.0,1400.0,22400000.0,803.0,0.0169,160x Mithril Ore
145,Enchanted Hard Stone,Hard Stone III,58.0,654.0,19100000.0,596.0,0.0144,576x Hard Stone
183,Snow Block,,0.0,8.0,15000000.0,8.0,0.0113,4x Snow Ball
139,☘ Flawed Peridot Gemstone,,336.0,998.0,14000000.0,662.0,0.0106,80x Rough Peridot Gem
152,Enchanted String,String IV,192.0,625.0,13700000.0,433.0,0.0103,160x String
141,☘ Flawed Jade Gemstone,Gemstone II,108.0,755.0,12900000.0,646.0,0.0097,80x Rough Jade Gem
167,✎ Flawed Sapphire Gemstone,Gemstone II,144.0,481.0,12500000.0,337.0,0.0094,80x Rough Sapphire Gem
172,⸕ Flawed Amber Gemstone,Gemstone II,154.0,471.0,11700000.0,317.0,0.0088,80x Rough Amber Gem
122,Enchanted Obsidian,Obsidian IV,2100.0,3100.0,11100000.0,978.0,0.0084,160x Obsidian
149,☂ Flawed Aquamarine Gemstone,,24.0,497.0,10900000.0,473.0,0.0082,80x Rough Aquamarine Gem
126,❈ Flawed Amethyst Gemstone,Gemstone II,96.0,1000.0,10800000.0,943.0,0.0082,80x Rough Amethyst Gem
162,☠ Flawed Onyx Gemstone,,16.0,398.0,10800000.0,382.0,0.0082,80x Rough Onyx Gem
181,Leather,,4.0,156.0,10800000.0,151.0,0.0082,4x Rabbit Hide
179,☘ Flawed Citrine Gemstone,,88.0,320.0,10600000.0,232.0,0.008,80x Rough Citrine Gem
159,Enchanted Rotten Flesh,Rotten Flesh IV,128.0,529.0,10000000.0,401.0,0.0076,160x Rotten Flesh
135,✧ Flawed Topaz Gemstone,Gemstone II,123.0,799.0,9800000.0,676.0,0.0074,80x Rough Topaz Gem
169,Enchanted Ender Pearl,Ender Pearl II,35.0,358.0,9200000.0,323.0,0.0069,20x Ender Pearl
176,Enchanted Wool,,33.0,317.0,9200000.0,285.0,0.0069,160x Wool
178,Enchanted Cobblestone,,64.0,299.0,8800000.0,235.0,0.0066,160x Cobblestone
143,Enchanted Flint,Gravel V,848.0,1500.0,8700000.0,626.0,0.0066,160x Flint
138,Enchanted Spider Eye,Spider Eye IV,320.0,983.0,6300000.0,663.0,0.0048,160x Spider Eye
142,❤ Flawed Ruby Gemstone,Gemstone II,88.0,719.0,6100000.0,631.0,0.0046,80x Rough Ruby Gem
140,❁ Flawed Jasper Gemstone,Gemstone II,512.0,1200.0,5900000.0,649.0,0.0045,80x Rough Jasper Gem
155,Enchanted Clay Ball,Clay Ball II,224.0,641.0,5900000.0,417.0,0.0045,160x Clay Ball
144,Enchanted Glacite,Glacite II,1500.0,2100.0,5200000.0,616.0,0.0039,160x Glacite
161,Enchanted Ghast Tear,Ghast Tear IV,182.0,578.0,5000000.0,395.0,0.0038,5x Ghast Tear
150,Enchanted Feather,Feather V,48.0,505.0,4700000.0,457.0,0.0036,160x Feather
164,❂ Flawed Opal Gemstone,,123.0,495.0,4700000.0,371.0,0.0036,80x Rough Opal Gem
118,Enchanted Mycelium,,308.0,1600.0,4200000.0,1300.0,0.0032,160x Mycel
117,Enchanted Sulphur,Sulphur II,624.0,1900.0,3800000.0,1300.0,0.0029,160x Sulphur Ore
166,Enchanted End Stone,End Stone IV,16.0,358.0,3800000.0,342.0,0.0029,160x Ender Stone
127,Enchanted Nether Quartz,Nether Quartz IV,160.0,1100.0,3100000.0,940.0,0.0024,160x Quartz
110,Enchanted Umber,Umber II,14400.0,16800.0,3000000.0,2400.0,0.0023,160x Umber
131,Enchanted Rabbit Foot,Raw Rabbit IV,92.0,783.0,3000000.0,691.0,0.0023,160x Rabbit Foot
88,Enchanted Tungsten,Tungsten II,12000.0,17600.0,2900000.0,5600.0,0.0023,160x Tungsten
99,Enchanted Melon,Melon Slice VI,47500.0,51200.0,2900000.0,3700.0,0.0023,160x Enchanted Melon
163,Enchanted Raw Beef,Leather IV,272.0,650.0,2800000.0,378.0,0.0021,160x Raw Beef
160,Enchanted Prismarine Shard,Prismarine Shard III,40.0,439.0,2300000.0,399.0,0.0017,80x Prismarine Shard
170,Enchanted Ice,Ice IV,64.0,386.0,2000000.0,322.0,0.0015,160x Ice
113,Enchanted Egg,Raw Chicken V,2200.0,4000.0,1900000.0,1800.0,0.0015,144x Egg
81,Enchanted Clay Block,Clay Ball VII,70200.0,76600.0,1800000.0,6400.0,0.0015,160x Enchanted Clay Ball
136,Enchanted Bone,Bone V,192.0,864.0,1700000.0,672.0,0.0013,160x Bone
157,Enchanted Sand,Sand V,384.0,789.0,1600000.0,405.0,0.0012,160x Sand
121,Enchanted Blaze Powder,Blaze Rod IV,784.0,1900.0,1500000.0,1200.0,0.0012,160x Blaze Rod
83,Enchanted Diamond Block,Diamond VIII,198900.0,205000.0,1400000.0,6100.0,0.0012,160x Enchanted Diamond
119,Enchanted Sponge,Sponge III,1200.0,2400.0,1300000.0,1200.0,0.001,40x Sponge
124,Enchanted Magma Cream,Magma Cream V,705.0,1700.0,1300000.0,955.0,0.001,160x Magma Cream
148,Silver Magmafish,Magmafish III,6500.0,7000.0,1300000.0,487.0,0.001,80x Magma Fish
168,Enchanted Gunpowder,Gunpowder IV,768.0,1100.0,1200000.0,329.0,0.0009,160x Sulphur
128,Enchanted Glowstone Dust,Glowstone Dust IV,336.0,1200.0,1100000.0,893.0,0.0008,160x Glowstone Dust
174,Hot Bait,Magmafish II,87.0,384.0,1100000.0,297.0,0.0008,1x Blaze Ashes | 1x Magma Fish
94,Enchanted Baked Potato,Potato VII,72300.0,76800.0,961700.0,4400.0,0.0008,160x Enchanted Potato
82,Mutant Nether Wart,Nether Wart XI,96000.0,102300.0,893700.0,6300.0,0.0008,160x Enchanted Nether Stalk
105,Enchanted Titanium,,14300.0,17300.0,832200.0,3000.0,0.0007,160x Titanium Ore
100,Enchanted Lush Berberis,,192.0,3900.0,772700.0,3700.0,0.0007,160x Lush Berberis
151,Melon,,3.0,447.0,744500.0,444.0,0.0006,9x Melon
133,Enchanted Bread,Wheat V,210.0,895.0,710600.0,685.0,0.0005,60x Wheat
96,Enchanted Lapis Lazuli Block,Lapis Lazuli VII,91900.0,95900.0,693700.0,4000.0,0.0006,160x Enchanted Lapis Lazuli
78,☘ Fine Peridot Gemstone,,51800.0,60000.0,609400.0,8200.0,0.0006,80x Flawed Peridot Gem
130,Very Crude Gabagool,,48200.0,48900.0,572800.0,750.0,0.0004,192x Crude Gabagool
106,✎ Fine Sapphire Gemstone,Gemstone V,27100.0,30100.0,554400.0,3000.0,0.0005,80x Flawed Sapphire Gem
165,Enchanted Netherrack,Netherrack IV,16.0,376.0,518299.99999999994,360.0,0.0004,160x Netherrack
107,☠ Fine Onyx Gemstone,,22800.0,25800.0,493000.0,2900.0,0.0004,80x Flawed Onyx Gem
104,☂ Fine Aquamarine Gemstone,,22800.0,25900.0,487300.0,3100.0,0.0004,80x Flawed Aquamarine Gem
98,☘ Fine Citrine Gemstone,,22400.0,26200.0,481800.0,3800.0,0.0004,80x Flawed Citrine Gem
93,Box of Seeds,Seeds VII,72200.0,76800.0,464300.0,4500.0,0.0004,160x Enchanted Seeds
95,⸕ Fine Amber Gemstone,Gemstone V,26900.0,31100.0,450900.0,4200.0,0.0004,80x Flawed Amber Gem
72,Enchanted Hay Bale,Wheat XI,142000.0,153800.0,385800.0,11800.0,0.0005,160x Enchanted Wheat
68,Enchanted Gold Block,Gold Ingot VII,71000.0,87500.0,374400.0,16500.0,0.0006,160x Enchanted Gold
69,❤ Fine Ruby Gemstone,Gemstone V,21300.0,34300.0,361800.0,13000.0,0.0005,80x Flawed Ruby Gem
120,Hemoglass,Hemovibe III,17700.0,18900.0,360900.0,1200.0,0.0003,160x Hemovibe
74,Enchanted Dandelion,,23000.0,33000.0,341900.0,10000.0,0.0005,160x Yellow Flower
86,Enchanted Sugar Cane,Sugar Cane VIII,98600.0,104300.0,327800.0,5700.0,0.0004,160x Enchanted Sugar
114,Enchanted Lily Pad,Lily Pad IV,440.0,2100.0,287800.0,1700.0,0.0003,160x Water Lily
77,☘ Fine Jade Gemstone,Gemstone V,25900.0,34200.0,280200.0,8300.0,0.0004,80x Flawed Jade Gem
87,✧ Fine Topaz Gemstone,Gemstone V,25500.0,31100.0,268500.0,5600.0,0.0003,80x Flawed Topaz Gem
67,Enchanted Sulphur Cube,Sulphur VI,239300.0,256100.00000000003,267200.0,16800.0,0.0005,160x Enchanted Sulphur
89,❈ Fine Amethyst Gemstone,Gemstone V,23200.0,28800.0,235600.0,5500.0,0.0003,80x Flawed Amethyst Gem
123,Red Mushroom Block,Mushroom V,52.0,1000.0,233300.0,975.0,0.0002,9x Red Mushroom
182,Corrupted Bait,Magmafish V,82.0,149.0,217000.0,68.0,0.0002,1x Corrupted Fragment | 1x Magma Fish
109,Enchanted Packed Ice,Ice VII,36900.0,39500.0,207700.0,2700.0,0.0002,160x Enchanted Ice
101,Polished Pumpkin,Pumpkin X,252000.0,255600.0,201600.0,3500.0,0.0002,160x Enchanted Pumpkin
102,Silver Fang,Ghast Tear V,6400.0,9800.0,192700.0,3500.0,0.0002,25x Enchanted Ghast Tear
92,❁ Fine Jasper Gemstone,Gemstone V,62300.0,66800.0,188100.0,4600.0,0.0002,80x Flawed Jasper Gem
90,Enchanted Cactus,Cactus VIII,97700.0,103100.0,179000.0,5500.0,0.0002,160x Enchanted Cactus Green
175,Spooky Bait,,31.0,321.0,168800.0,290.0,0.0001,1x Pumpkin | 1x Raw Fish
125,Brown Mushroom Block,Mushroom V,52.0,999.0,162700.0,947.0,0.0001,9x Brown Mushroom
97,Enchanted Cooked Mutton,Raw Mutton VIII,124700.0,128600.0,149100.0,3900.0,0.0002,160x Enchanted Mutton
115,Enchanted Paper,Sugar Cane V,326.0,1800.0,139900.0,1400.0,0.0001,192x Sugar Cane
62,Tarantula Silk,,257899.99999999997,278700.0,134700.0,20800.0,0.0005,128x Tarantula Web | 32x Enchanted Flint
60,Enchanted Quartz Block,Nether Quartz VI,110000.0,132100.0,133600.0,22000.0,0.0005,160x Enchanted Quartz
112,Enchanted Cooked Cod,Raw Cod VIII,151300.0,153400.0,132100.0,2100.0,0.0001,160x Enchanted Raw Fish
180,Carrot Bait,,26.0,190.0,125700.0,164.0,0.0001,1x Carrot Item | 1x Raw Fish
85,Enchanted Wet Sponge,Sponge VII,74100.0,80000.0,95800.0,5900.0,0.0002,40x Enchanted Sponge
59,Revenant Viscera,,60900.0,83300.0,89800.0,22400.0,0.0005,128x Revenant Flesh | 32x Enchanted String
91,Enchanted Blaze Rod,Blaze Rod VII,250900.0,255900.0,60600.0,4900.0,0.0001,160x Enchanted Blaze Powder
76,Enchanted Poisonous Potato,,330.0,9400.0,53800.0,9100.0,0.0002,160x Poisonous Potato
73,❂ Fine Opal Gemstone,,26300.0,37600.0,45900.0,11300.0,0.0003,80x Flawed Opal Gem
70,Enchanted Cooked Salmon,Raw Salmon VIII,243300.0,256000.0,42200.0,12700.0,0.0003,160x Enchanted Raw Salmon
52,Molten Powder,,267200.0,314600.0,38100.0,47400.0,0.001,128x Derelict Ashe | 1x Amalgamated Crimsonite New
79,Enchanted Ancient Claw,,29000.0,36000.0,36300.0,7000.0,0.0002,160x Ancient Claw
63,Enchanted Ink Sac,Ink Sac III,101000.0,120000.0,33100.0,19000.0,0.0004,80x Ink Sack
84,Full Chum Bucket,,6600.0,12500.0,32700.000000000004,5900.0,0.0001,10x Chum | 1x Empty Chum Bucket
48,Super Compactor 3000,Cobblestone X,66700.0,138500.0,30300.0,71800.0,0.0015,224x Enchanted Cobblestone | 1x Compactor | 32x Enchanted Redstone
61,Enchanted Lava Bucket,Coal VIII,55900.0,77200.0,27700.0,21300.0,0.0005,3x Enchanted Iron | 2x Enchanted Coal Block
65,Null Ovoid,,134400.0,152400.0,25500.0,17900.0,0.0004,128x Null Sphere | 32x Enchanted Obsidian
53,Golden Tooth,,149900.0,196900.0,21100.0,47000.0,0.001,128x Wolf Tooth | 32x Enchanted Gold
40,Precursor Apparatus,,980800.0,1100000.0,12400.0,122000.0,0.0025,1x Control Switch | 1x Electron Transmitter | 1x Ftx 3070 | 1x Robotron Reflector | 1x Superlite Motor | 1x Synthetic Heart
103,Enchanted Charcoal,Coal V,857.0,4300.0,11200.0,3400.0,0.0001,128x Coal | 32x Log
58,Concentrated Stone,Hard Stone VI,297800.0,323800.0,10700.0,26000.0,0.0005,576x Enchanted Hard Stone
80,Medium Storage,Oak Log VII,10300.0,16800.0,10100.0,6500.0,0.0001,8x Enchanted Oak Log | 1x Small Enchanted Chest
116,Light Bait,Prismarine Crystals II,1200.0,2600.0,9700.0,1400.0,0.0,2x Prismarine Crystals | 1x Raw Fish
56,Enchanted Red Sand Cube,,165600.0,200500.0,9300.0,34900.0,0.0007,160x Enchanted Red Sand
22,☘ Flawless Peridot Gemstone,,4000000.0,4600000.0,8700.0,543400.0,0.0111,80x Fine Peridot Gem
43,Corrupt Soil,Mycelium VI,187900.0,285000.0,6500.0,97100.0,0.002,160x Enchanted Mycelium | 20x Corrupted Fragment
45,Gold Magmafish,Magmafish VII,514100.0,605700.0,5800.0,91600.0,0.0019,80x Magma Fish Silver
27,Compost Bundle,,3000000.0,3300000.0,5700.0,369700.0,0.0075,160x Compost
32,✎ Flawless Sapphire Gemstone,Gemstone IX,2300000.0,2500000.0,5500.0,273400.0,0.0056,80x Fine Sapphire Gem
71,Compactor,Cobblestone V,2000.0,14600.0,5500.0,12600.0,0.0003,7x Enchanted Cobblestone | 1x Enchanted Redstone
39,⸕ Flawless Amber Gemstone,Gemstone IX,2400000.0,2500000.0,5100.0,122100.0,0.0025,80x Fine Amber Gem
111,Enchanted Shark Fin,,48100.0,50200.0,5000.0,2100.0,0.0,160x Shark Fin
33,☘ Flawless Jade Gemstone,Gemstone IX,2200000.0,2400000.0,4800.0,200200.0,0.0041,80x Fine Jade Gem
66,Hemobomb,Hemovibe IX,255000.0,272500.0,4700.0,17500.0,0.0004,15x Hemoglass
51,Great Carrot Candy,Carrot VI,156100.0,207600.0,4400.0,51500.0,0.0011,320x Enchanted Carrot | 1x Simple Carrot Candy
47,Large Storage,Oak Log IX,323100.0,400600.0,4300.0,77600.0,0.0016,256x Enchanted Oak Log | 1x Medium Enchanted Chest
57,Minion Expander,Nether Quartz V,12400.0,40000.0,4100.0,27600.0,0.0006,16x Enchanted Quartz | 2x Enchanted Redstone
37,❤ Flawless Ruby Gemstone,Gemstone IX,1800000.0,1900000.0,4000.0,147100.0,0.003,80x Fine Ruby Gem
42,Dwarven Super Compactor,,181400.0,280000.0,3900.0,98600.0,0.002,56x Enchanted Mithril | 1x Auto Smelter | 1x Super Compactor 3000
18,Hypergolic Gabagool,,3400000.0,4400000.0,3700.0,967400.0,0.0197,12x Heavy Gabagool | 1x Sulphuric Coal
146,Small Storage,Oak Log IV,226.0,807.0,3500.0,581.0,0.0,64x Log
108,Auto Smelter,Cobblestone III,31.0,2700.0,3400.0,2700.0,0.0001,64x Cobblestone | 1x Coal
21,❁ Flawless Jasper Gemstone,Gemstone IX,4900000.0,5500000.0,2800.0,548100.0,0.0112,80x Fine Jasper Gem
75,Simple Carrot Candy,Carrot II,403.0,10000.0,2800.0,9600.0,0.0002,576x Carrot Item
36,Condensed Fermento,,2200000.0,2400000.0,2600.0,162400.0,0.0033,9x Fermento
50,Enchanted Redstone Lamp,Glowstone Dust VII,122700.0,180000.0,2300.0,57300.0,0.0012,128x Enchanted Redstone | 32x Enchanted Glowstone Dust
29,❈ Flawless Amethyst Gemstone,Gemstone IX,2100000.0,2400000.0,1900.0,339800.0,0.0069,80x Fine Amethyst Gem
34,✧ Flawless Topaz Gemstone,Gemstone IX,2400000.0,2600000.0,1900.0,187400.0,0.0038,80x Fine Topaz Gem
64,Catalyst,End Stone IX,111600.0,130000.0,1900.0,18400.0,0.0004,8x Ender Stone | 1x Crystal Fragment
44,Re-heated Gummy Polar Bear,Chili Pepper I,454500.0,550000.0,923.0,95400.0,0.0019,4x Chili Pepper | 4x Enchanted Slime Ball | 4x Enchanted Snow Block
9,❂ Flawless Opal Gemstone,,53400.0,2600000.0,838.0,2600000.0,0.0531,80x Fine Opal Gem
11,Flycatcher,Spider Slayer 6,28200000.0,29900000.0,765.0,1700000.0,0.0347,102x Tarantula Silk | 1x Fly Swatter
28,Mithril Infusion,Mithril VIII,3700000.0,4000000.0,554.0,355600.0,0.0073,512x Enchanted Mithril | 1x Magma Bucket
17,Diamond Magmafish,Magmafish X,10700000.0,11800000.0,442.0,1000000.0,0.0204,20x Magma Fish Gold
55,Mixed Mite Gel,,304100.0,341000.0,415.0,36800.0,0.0008,160x Mite Gel
54,Heavy Gabagool,,318200.0,355600.0,400.0,37300.0,0.0008,24x Fuel Gabagool | 1x Sulphuric Coal
23,Acacia Birdhouse,Acacia Log IX,421400.0,908400.0,349.0,486900.0,0.0099,384x Enchanted Acacia Log
24,Silex,Hard Stone VII,2700000.0,3200000.0,346.0,471900.0,0.0096,9x Concentrated Stone
30,Shiny Prism,,76300.0,398000.0,338.0,321700.0,0.0066,80x Enchanted Glowstone Dust | 10x Gazing Pearl
20,Tessellated Ender Pearl,,4000000.0,4600000.0,329.0,589800.0,0.012,32x Enchanted Lapis Lazuli Block | 80x Absolute Ender Pearl
26,Superb Carrot Candy,Carrot VIII,2000000.0,2500000.0,238.0,421900.0,0.0086,24x Enchanted Golden Carrot | 1x Great Carrot Candy
25,Obsidian Tablet,Obsidian IX,1800000.0,2200000.0,233.0,439800.0,0.009,192x Enchanted Obsidian | 1x Summoning Eye
49,Water Orb,,183700.0,247200.0,180.0,63500.0,0.0013,16x Enchanted Raw Fish | 8x Enchanted Sponge | 16x Enchanted Raw Salmon | 16x Enchanted Prismarine Shard | 16x Enchanted Water Lily | 16x Enchanted Prismarine Crystals | 16x Enchanted Clay Ball | 16x Enchanted Pufferfish | 16x Enchanted Clownfish
38,Blaze Wax,Blaze Rod VI,136400.0,282100.0,147.0,145700.0,0.003,80x Enchanted Blaze Powder | 10x Bezos
31,Horns of Torment,Raw Mutton IX,165700.0,468700.0,143.0,302900.0,0.0062,192x Enchanted Mutton | 32x Horn Of Taurus
6,Null Blade,,18100000.0,22000000.0,141.0,3900000.0,0.0796,64x Null Ovoid | 3x Null Edge | 64x Enchanted Quartz Block
41,Searing Stone,,88200.0,200000.0,140.0,111800.0,0.0023,50x Enchanted Magma Cream | 50x Magma Chunk | 30x Enchanted Netherrack
46,Null Edge,,367400.0,449500.0,128.0,82100.0,0.0017,192x Enchanted Mithril | 3x Null Atom
1,Braided Griffin Feather,,22100000.0,46700000.0,100.0,24500000.0,0.5,160x Griffin Feather | 256x Soul String
35,Blood-Stained Coins,,2300000.0,2500000.0,55.0,162500.0,0.0033,4x Hemoglass | 1x Freshly Minted Coins
12,Stuffed Chili Pepper,Chili Pepper VI,17900000.0,19400000.0,20.0,1500000.0,0.0306,160x Chili Pepper
14,Lava Water Orb,,409800.0,1700000.0,20.0,1300000.0,0.0265,32x Magma Fish Silver | 2x Thunder Shards | 64x Moogma Pelt | 1x Water Orb | 64x Lump Of Magma | 32x Cup Of Blood | 16x Horn Of Taurus | 32x Flaming Heart
7,Blood-Soaked Coins,,1500000.0,5000000.0,16.0,3500000.0,0.0714,32x Hemoglass | 1x Blood Stained Coins
15,Meteor Shard,,453000.0,1500000.0,16.0,1000000.0,0.0204,40x Silver Fang | 20x Starfall | 10x Tentacle Meat
13,Great White Tooth Meal,,5400000.0,6700000.0,15.0,1300000.0,0.0265,4x Great White Shark Tooth | 1x Enchanted Bone
16,Presumed Gallon of Red Paint,Hemovibe VIII,697900.0,1700000.0,12.0,1000000.0,0.0204,32x Enchanted Cobblestone | 32x Hemoglass | 80x Enchanted Dark Oak Log
3,Jalapeno Book,Chili Pepper VII,13400000.0,23100000.0,10.0,9700000.0,0.198,3x Enchanted Paper | 1x Stuffed Chili Pepper
5,Winter Water Orb,,4300000.0,9700000.0,9.0,5400000.0,0.1102,128x Ice Hunk | 64x Enchanted Snow Block | 64x White Gift | 1x Water Orb | 16x Green Gift | 32x Blue Ice Hunk
19,Spooky Water Orb,,1700000.0,2600000.0,9.0,872700.0,0.0178,64x Purple Candy | 1x Soul Fragment | 24x Werewolf Skin | 1x Water Orb
4,Hotspot Water Orb,,12800000.0,18600000.0,8.0,5900000.0,0.1204,64x Half Eaten Mushroom | 8x Blue Ring | 64x Fried Feather | 8x Singed Powder | 1x Water Orb | 8x Scorched Crab Stick | 64x Enchanted Jungle Log | 8x Broken Radar | 64x Enchanted Coal
10,Bayou Water Orb,,9100000.0,11500000.0,6.0,2400000.0,0.049,8x Busted Belt Buckle | 1x Old Leather Boot | 8x Alligator Skin | 16x Bronze Bowl | 1x Water Orb | 16x Torn Cloth | 1x Enchanted Clay Block | 64x Rusty Coin | 1x Poison Sample
8,Shark Water Orb,,2000000.0,5000000.0,2.0,3000000.0,0.0612,4x Enchanted Shark Fin | 1x Great White Shark Tooth | 6x Blue Shark Tooth | 1x Water Orb | 12x Nurse Shark Tooth | 4x Tiger Shark Tooth
2,Entropy Suppressor,Chili Pepper IV,8500000.0,21900000.0,1.0,13400000.0,0.2735,32x Chili Pepper | 16x Heavy Gabagool | 4x Kelvin Inverter
